CaseID,Activity,Timestamp
student01,Člen skupiny bol pridaný,28.9.2020 9:20
student01,Rola priradená,28.9.2020 9:20
student01,Používateľ bol zapísaný do kurzu,28.9.2020 9:20
student01,Kurz bol prehliadnutý,28.9.2020 9:20
student01,Zobrazené moduly kurzu,28.9.2020 9:21
student01,Kurz bol prehliadnutý,28.9.2020 9:21
student01,Kurz bol prehliadnutý,30.9.2020 11:04
student01,Kurz bol prehliadnutý,5.10.2020 9:25
student01,Zobrazené moduly kurzu,5.10.2020 9:26
student01,Kurz bol prehliadnutý,5.10.2020 9:26
student01,Kurz bol prehliadnutý,5.10.2020 9:44
student01,Zobrazené moduly kurzu,5.10.2020 9:45
student01,Kurz bol prehliadnutý,5.10.2020 9:46
student01,Zobrazené moduly kurzu,5.10.2020 9:46
student01,Kurz bol prehliadnutý,5.10.2020 10:36
student01,Kurz bol prehliadnutý,13.10.2020 9:18
student01,Zobrazené moduly kurzu,13.10.2020 9:18
student01,Zobrazené moduly kurzu,13.10.2020 9:21
student01,Kurz bol prehliadnutý,13.10.2020 9:21
student01,Zobrazené moduly kurzu,13.10.2020 9:31
student01,Aktualizované nastavenie splnenie aktivity kurzu,13.10.2020 9:31
student01,Zobrazené moduly kurzu,13.10.2020 9:31
student01,Kurz bol prehliadnutý,13.10.2020 9:31
student01,Aktualizované nastavenie splnenie aktivity kurzu,13.10.2020 9:32
student01,Zobrazené moduly kurzu,13.10.2020 9:32
student01,Aktualizované nastavenie splnenie aktivity kurzu,13.10.2020 9:32
student01,Zobrazené moduly kurzu,13.10.2020 9:32
student01,Kurz bol prehliadnutý,13.10.2020 9:33
student01,Aktualizované nastavenie splnenie aktivity kurzu,13.10.2020 9:33
student01,Zobrazené moduly kurzu,13.10.2020 9:33
student01,Zobrazené moduly kurzu,13.10.2020 9:33
student01,Kurz bol prehliadnutý,13.10.2020 9:34
student01,Kurz bol prehliadnutý,13.10.2020 9:35
student01,Zobrazené moduly kurzu,13.10.2020 9:36
student01,Kurz bol prehliadnutý,13.10.2020 9:37
student01,Bol zobrazený stav riešenia zadania.,13.10.2020 12:21
student01,Zobrazené moduly kurzu,13.10.2020 12:21
student01,Kurz bol prehliadnutý,13.10.2020 12:21
student01,Zobrazené moduly kurzu,13.10.2020 12:21
student01,Zobrazené moduly kurzu,13.10.2020 12:21
student01,Zobrazené moduly kurzu,13.10.2020 12:22
student01,Kurz bol prehliadnutý,13.10.2020 12:22
student01,Aktualizované nastavenie splnenie aktivity kurzu,13.10.2020 12:22
student01,Zobrazené moduly kurzu,13.10.2020 12:22
student01,Bol zobrazený stav riešenia zadania.,13.10.2020 13:10
student01,Zobrazené moduly kurzu,13.10.2020 13:10
student01,Kurz bol prehliadnutý,13.10.2020 13:10
student01,Bol zobrazený formulár pre riešenia zadania.,13.10.2020 13:10
student01,Bolo vytvorené riešenie zadania.,13.10.2020 13:11
student01,Súbor bol nahraný,13.10.2020 13:11
student01,Zobrazené moduly kurzu,13.10.2020 13:11
student01,Bol zobrazený stav riešenia zadania.,13.10.2020 13:11
student01,Zadanie bolo odoslané,13.10.2020 13:11
student01,Používateľ prijal prehlásenie o odovzdanom zadaní.,13.10.2020 13:11
student01,Aktualizované nastavenie splnenie aktivity kurzu,13.10.2020 13:11
student01,Bol zobrazený formulár pre riešenia zadania.,13.10.2020 13:29
student01,Zobrazené moduly kurzu,13.10.2020 13:29
student01,Zadanie bolo odoslané,13.10.2020 13:29
student01,Používateľ prijal prehlásenie o odovzdanom zadaní.,13.10.2020 13:29
student01,Používateľ aktualizoval svoje zadanie.,13.10.2020 13:29
student01,Súbor bol nahraný,13.10.2020 13:29
student01,Bol zobrazený stav riešenia zadania.,13.10.2020 13:29
student01,Zobrazené moduly kurzu,15.10.2020 18:28
student01,Kurz bol prehliadnutý,15.10.2020 18:29
student01,Zobrazené moduly kurzu,15.10.2020 18:29
student01,Zobrazené moduly kurzu,19.10.2020 19:15
student01,Bol zobrazený stav riešenia zadania.,19.10.2020 19:15
student01,Zobrazené moduly kurzu,20.10.2020 19:25
student01,Bol zobrazený stav riešenia zadania.,20.10.2020 19:25
student01,Bol zobrazený stav riešenia zadania.,20.10.2020 20:13
student01,Zobrazené moduly kurzu,20.10.2020 20:13
student01,Bol zobrazený formulár pre riešenia zadania.,20.10.2020 20:13
student01,Používateľ prijal prehlásenie o odovzdanom zadaní.,20.10.2020 20:14
student01,Aktualizované nastavenie splnenie aktivity kurzu,20.10.2020 20:14
student01,Bolo vytvorené riešenie zadania.,20.10.2020 20:14
student01,Súbor bol nahraný,20.10.2020 20:14
student01,Zobrazené moduly kurzu,20.10.2020 20:14
student01,Bol zobrazený stav riešenia zadania.,20.10.2020 20:14
student01,Zadanie bolo odoslané,20.10.2020 20:14
student01,Kurz bol prehliadnutý,27.10.2020 9:20
student01,Zobrazené moduly kurzu,27.10.2020 9:22
student01,Kurz bol prehliadnutý,27.10.2020 9:22
student01,Zobrazené moduly kurzu,27.10.2020 9:22
student01,Bol zobrazený stav riešenia zadania.,27.10.2020 9:22
student01,Kurz bol prehliadnutý,27.10.2020 9:27
student01,Zobrazené moduly kurzu,27.10.2020 9:27
student01,Zobrazené moduly kurzu,27.10.2020 9:28
student01,Kurz bol prehliadnutý,27.10.2020 9:28
student01,Zobrazené moduly kurzu,27.10.2020 9:28
student01,Zobrazené moduly kurzu,27.10.2020 9:28
student01,Kurz bol prehliadnutý,27.10.2020 9:29
student01,Kurz bol prehliadnutý,29.10.2020 2:04
student01,Bol zobrazený stav riešenia zadania.,29.10.2020 2:05
student01,Zobrazené moduly kurzu,29.10.2020 2:05
student01,Kurz bol prehliadnutý,2.11.2020 14:02
student01,Zobrazené moduly kurzu,2.11.2020 14:02
student01,Zobrazené moduly kurzu,2.11.2020 14:02
student01,Aktualizované nastavenie splnenie aktivity kurzu,2.11.2020 14:08
student01,Kurz bol prehliadnutý,2.11.2020 18:34
student01,Zobrazené moduly kurzu,2.11.2020 18:34
student01,Zobrazené moduly kurzu,2.11.2020 18:34
student01,Bol zobrazený stav riešenia zadania.,2.11.2020 18:42
student01,Zobrazené moduly kurzu,2.11.2020 18:42
student01,Kurz bol prehliadnutý,2.11.2020 18:42
student01,Bol zobrazený stav riešenia zadania.,2.11.2020 18:42
student01,Zobrazené moduly kurzu,2.11.2020 18:42
student01,Kurz bol prehliadnutý,2.11.2020 18:47
student01,Zobrazené moduly kurzu,2.11.2020 19:00
student01,Kurz bol prehliadnutý,2.11.2020 19:00
student01,Zobrazené moduly kurzu,2.11.2020 19:00
student01,Zobrazené moduly kurzu,2.11.2020 19:00
student01,Zobrazené moduly kurzu,2.11.2020 19:01
student01,Kurz bol prehliadnutý,2.11.2020 19:01
student01,Kurz bol prehliadnutý,3.11.2020 8:15
student01,Zobrazené moduly kurzu,3.11.2020 8:15
student01,Kurz bol prehliadnutý,3.11.2020 9:16
student01,Zobrazené moduly kurzu,3.11.2020 9:16
student01,Zobrazený pokus testu,3.11.2020 9:17
student01,Zahájený pokus,3.11.2020 9:17
student01,Kurz bol prehliadnutý,3.11.2020 9:53
student01,Zobrazené moduly kurzu,3.11.2020 9:54
student01,Kurz bol prehliadnutý,3.11.2020 9:54
student01,Zobrazené moduly kurzu,3.11.2020 9:54
student01,Zobrazené moduly kurzu,3.11.2020 10:15
student01,Kurz bol prehliadnutý,3.11.2020 10:15
student01,Zobrazené moduly kurzu,3.11.2020 10:15
student01,Zobrazené moduly kurzu,3.11.2020 10:15
student01,Zobrazený súhrn pokusov testu,3.11.2020 10:55
student01,Zobrazené moduly kurzu,3.11.2020 10:55
student01,Odoslaný pokus testu,3.11.2020 10:55
student01,Kurz bol prehliadnutý,3.11.2020 10:55
student01,Kurz bol prehliadnutý,9.11.2020 13:47
student01,Zobrazené moduly kurzu,9.11.2020 13:47
student01,Zobrazené moduly kurzu,9.11.2020 13:48
student01,Zobrazené moduly kurzu,9.11.2020 13:48
student01,Zobrazené moduly kurzu,9.11.2020 13:49
student01,Zobrazené moduly kurzu,9.11.2020 13:50
student01,Zobrazené moduly kurzu,9.11.2020 13:58
student01,Zobrazené moduly kurzu,9.11.2020 13:59
student01,Kurz bol prehliadnutý,9.11.2020 13:59
student01,Aktualizované nastavenie splnenie aktivity kurzu,9.11.2020 13:59
student01,Zobrazené moduly kurzu,9.11.2020 13:59
student01,Zobrazené moduly kurzu,9.11.2020 14:00
student01,Zobrazené moduly kurzu,9.11.2020 14:01
student01,Zobrazené moduly kurzu,9.11.2020 14:07
student01,Zobrazené moduly kurzu,9.11.2020 14:07
student01,Zobrazené moduly kurzu,9.11.2020 14:10
student01,Zobrazené moduly kurzu,9.11.2020 14:12
student01,Zobrazené moduly kurzu,9.11.2020 14:13
student01,Zobrazené moduly kurzu,9.11.2020 14:13
student01,Kurz bol prehliadnutý,9.11.2020 15:04
student01,Zobrazené moduly kurzu,9.11.2020 15:04
student01,Zobrazené moduly kurzu,9.11.2020 15:05
student01,Kurz bol prehliadnutý,9.11.2020 15:17
student01,Zobrazené moduly kurzu,9.11.2020 15:17
student01,Zobrazené moduly kurzu,9.11.2020 15:18
student01,Kurz bol prehliadnutý,9.11.2020 15:18
student01,Zobrazené moduly kurzu,9.11.2020 15:20
student01,Zobrazené moduly kurzu,9.11.2020 15:22
student01,Kurz bol prehliadnutý,9.11.2020 15:23
student01,Zobrazené moduly kurzu,9.11.2020 15:23
student01,Kurz bol prehliadnutý,9.11.2020 15:30
student01,Kurz bol prehliadnutý,10.11.2020 10:12
student01,Bol zobrazený stav riešenia zadania.,10.11.2020 10:14
student01,Zobrazené moduly kurzu,10.11.2020 10:14
student01,Kurz bol prehliadnutý,10.11.2020 10:14
student01,Zobrazené moduly kurzu,10.11.2020 10:15
student01,Bol zobrazený stav riešenia zadania.,10.11.2020 10:15
student01,Kurz bol prehliadnutý,10.11.2020 10:27
student01,Zobrazené moduly kurzu,10.11.2020 10:27
