Čas;Celé meno;Kontext udalosti;Komponent;Názov udalosti;Pôvod
28.9.2020 9:20;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Člen skupiny bol pridaný;web
28.9.2020 9:20;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Rola priradená;web
28.9.2020 9:20;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Používateľ bol zapísaný do kurzu;web
28.9.2020 9:20;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
28.9.2020 9:21;student01;Stránka: Harmonogram;Stránka;Zobrazené moduly kurzu;web
28.9.2020 9:21;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
30.9.2020 11:04;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
5.10.2020 9:25;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
5.10.2020 9:26;student01;Stránka: Harmonogram;Stránka;Zobrazené moduly kurzu;web
5.10.2020 9:26;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
5.10.2020 9:44;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
5.10.2020 9:45;student01;Súbor: Príklad - identifikácia aktérov a prípadov použitia - AIS;Zdroj;Zobrazené moduly kurzu;web
5.10.2020 9:46;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
5.10.2020 9:46;student01;Súbor: Príklad - identifikácia aktérov a prípadov použitia - AIS;Zdroj;Zobrazené moduly kurzu;web
5.10.2020 10:36;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
13.10.2020 9:18;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
13.10.2020 9:18;student01;URL: SCRUM - prehľadný úvod;URL;Zobrazené moduly kurzu;web
13.10.2020 9:21;student01;Adresár: Arlow - UML a unifikovaný proces vývoja aplikácií;Adresár;Zobrazené moduly kurzu;web
13.10.2020 9:21;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
13.10.2020 9:31;student01;Súbor: Install EA 13.5  - easetupfull;Zdroj;Zobrazené moduly kurzu;web
13.10.2020 9:31;student01;URL: Plná verzia EA14 - verzia viazaná na študentov UKF;Základný systém;Aktualizované nastavenie splnenie aktivity kurzu;web
13.10.2020 9:31;student01;URL: Plná verzia EA14 - verzia viazaná na študentov UKF;Základný systém;Aktualizované nastavenie splnenie aktivity kurzu;web
13.10.2020 9:31;student01;URL: Plná verzia EA14 - verzia viazaná na študentov UKF;URL;Zobrazené moduly kurzu;web
13.10.2020 9:31;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
13.10.2020 9:32;student01;Súbor: sparxkeystoreservice;Základný systém;Aktualizované nastavenie splnenie aktivity kurzu;web
13.10.2020 9:32;student01;Súbor: sparxkeystoreservice;Základný systém;Aktualizované nastavenie splnenie aktivity kurzu;web
13.10.2020 9:32;student01;Súbor: sparxkeystoreservice;Zdroj;Zobrazené moduly kurzu;web
13.10.2020 9:32;student01;Stránka: Postup inštalácie;Základný systém;Aktualizované nastavenie splnenie aktivity kurzu;web
13.10.2020 9:32;student01;Stránka: Postup inštalácie;Základný systém;Aktualizované nastavenie splnenie aktivity kurzu;web
13.10.2020 9:32;student01;Stránka: Postup inštalácie;Stránka;Zobrazené moduly kurzu;web
13.10.2020 9:33;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
13.10.2020 9:33;student01;Súbor: sparxkeystoreservice install tutorial;Základný systém;Aktualizované nastavenie splnenie aktivity kurzu;web
13.10.2020 9:33;student01;Súbor: sparxkeystoreservice install tutorial;Základný systém;Aktualizované nastavenie splnenie aktivity kurzu;web
13.10.2020 9:33;student01;Súbor: sparxkeystoreservice install tutorial;Zdroj;Zobrazené moduly kurzu;web
13.10.2020 9:33;student01;Stránka: Postup inštalácie;Stránka;Zobrazené moduly kurzu;web
13.10.2020 9:34;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
13.10.2020 9:34;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
13.10.2020 9:34;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
13.10.2020 9:35;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
13.10.2020 9:36;student01;Stránka: Postup inštalácie;Stránka;Zobrazené moduly kurzu;web
13.10.2020 9:37;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
13.10.2020 12:21;student01;Zadanie: Prípady použitia;Zadanie;Bol zobrazený stav riešenia zadania.;web
13.10.2020 12:21;student01;Zadanie: Prípady použitia;Zadanie;Zobrazené moduly kurzu;web
13.10.2020 12:21;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
13.10.2020 12:21;student01;Súbor: Základné vzťahy medzi diagramami UML;Zdroj;Zobrazené moduly kurzu;web
13.10.2020 12:21;student01;Súbor: UML Tutorial Part 1 Introduction;Zdroj;Zobrazené moduly kurzu;web
13.10.2020 12:22;student01;Stránka: UML modelovanie na Internete;Stránka;Zobrazené moduly kurzu;web
13.10.2020 12:22;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
13.10.2020 12:22;student01;Stránka: Požiadavky na vedomosti pre skúškový test;Základný systém;Aktualizované nastavenie splnenie aktivity kurzu;web
13.10.2020 12:22;student01;Stránka: Požiadavky na vedomosti pre skúškový test;Základný systém;Aktualizované nastavenie splnenie aktivity kurzu;web
13.10.2020 12:22;student01;Stránka: Požiadavky na vedomosti pre skúškový test;Stránka;Zobrazené moduly kurzu;web
13.10.2020 12:22;student01;Kurz: Informačné systémy 20/21 (KI/IS);Základný systém;Kurz bol prehliadnutý;web
