Timestamp,CaseID,KontextUdalosti,Komponent,NazovUdalosti,Pôvod,SpojeneUdalosti
28.9.2020 9:21,student01,Stránka: Harmonogram,Stránka,Zobrazené moduly kurzu,web,Stránka - Zobrazené moduly kurzu
5.10.2020 9:26,student01,Stránka: Harmonogram,Stránka,Zobrazené moduly kurzu,web,Stránka - Zobrazené moduly kurzu
5.10.2020 9:45,student01,Súbor: Príklad - identifikácia aktérov a prípadov použitia - AIS,Zdroj,Zobrazené moduly kurzu,web,Zdroj - Zobrazené moduly kurzu
5.10.2020 9:46,student01,Súbor: Príklad - identifikácia aktérov a prípadov použitia - AIS,Zdroj,Zobrazené moduly kurzu,web,Zdroj - Zobrazené moduly kurzu
13.10.2020 9:18,student01,URL: SCRUM - prehľadný úvod,URL,Zobrazené moduly kurzu,web,URL - Zobrazené moduly kurzu
13.10.2020 9:21,student01,Adresár: Arlow - UML a unifikovaný proces vývoja aplikácií,Adresár,Zobrazené moduly kurzu,web,Adresár - Zobrazené moduly kurzu
13.10.2020 9:31,student01,Súbor: Install EA 13.5  - easetupfull,Zdroj,Zobrazené moduly kurzu,web,Zdroj - Zobrazené moduly kurzu
13.10.2020 9:31,student01,URL: Plná verzia EA14 - verzia viazaná na študentov UKF,URL,Zobrazené moduly kurzu,web,URL - Zobrazené moduly kurzu
13.10.2020 9:32,student01,Súbor: sparxkeystoreservice,Zdroj,Zobrazené moduly kurzu,web,Zdroj - Zobrazené moduly kurzu
13.10.2020 9:32,student01,Stránka: Postup inštalácie,Stránka,Zobrazené moduly kurzu,web,Stránka - Zobrazené moduly kurzu
13.10.2020 9:33,student01,Súbor: sparxkeystoreservice install tutorial,Zdroj,Zobrazené moduly kurzu,web,Zdroj - Zobrazené moduly kurzu
13.10.2020 9:33,student01,Stránka: Postup inštalácie,Stránka,Zobrazené moduly kurzu,web,Stránka - Zobrazené moduly kurzu
13.10.2020 9:36,student01,Stránka: Postup inštalácie,Stránka,Zobrazené moduly kurzu,web,Stránka - Zobrazené moduly kurzu
13.10.2020 12:21,student01,Zadanie: Prípady použitia,Zadanie,Bol zobrazený stav riešenia zadania.,web,Zadanie - Bol zobrazený stav riešenia zadania.
13.10.2020 12:21,student01,Zadanie: Prípady použitia,Zadanie,Zobrazené moduly kurzu,web,Zadanie - Zobrazené moduly kurzu
13.10.2020 12:21,student01,Súbor: Základné vzťahy medzi diagramami UML,Zdroj,Zobrazené moduly kurzu,web,Zdroj - Zobrazené moduly kurzu
13.10.2020 12:21,student01,Súbor: UML Tutorial Part 1 Introduction,Zdroj,Zobrazené moduly kurzu,web,Zdroj - Zobrazené moduly kurzu
13.10.2020 12:22,student01,Stránka: UML modelovanie na Internete,Stránka,Zobrazené moduly kurzu,web,Stránka - Zobrazené moduly kurzu
13.10.2020 12:22,student01,Stránka: Požiadavky na vedomosti pre skúškový test,Stránka,Zobrazené moduly kurzu,web,Stránka - Zobrazené moduly kurzu
13.10.2020 13:10,student01,Zadanie: Prípady použitia,Zadanie,Bol zobrazený stav riešenia zadania.,web,Zadanie - Bol zobrazený stav riešenia zadania.
13.10.2020 13:10,student01,Zadanie: Prípady použitia,Zadanie,Zobrazené moduly kurzu,web,Zadanie - Zobrazené moduly kurzu
13.10.2020 13:10,student01,Zadanie: Prípady použitia,Zadanie,Bol zobrazený formulár pre riešenia zadania.,web,Zadanie - Bol zobrazený formulár pre riešenia zadania.
13.10.2020 13:11,student01,Zadanie: Prípady použitia,Súbory odovzdaných zadaní,Bolo vytvorené riešenie zadania.,web,Súbory odovzdaných zadaní - Bolo vytvorené riešenie zadania.
13.10.2020 13:11,student01,Zadanie: Prípady použitia,Súbory odovzdaných zadaní,Súbor bol nahraný,web,Súbory odovzdaných zadaní - Súbor bol nahraný
13.10.2020 13:11,student01,Zadanie: Prípady použitia,Zadanie,Zobrazené moduly kurzu,web,Zadanie - Zobrazené moduly kurzu
13.10.2020 13:11,student01,Zadanie: Prípady použitia,Zadanie,Bol zobrazený stav riešenia zadania.,web,Zadanie - Bol zobrazený stav riešenia zadania.
13.10.2020 13:11,student01,Zadanie: Prípady použitia,Zadanie,Zadanie bolo odoslané,web,Zadanie - Zadanie bolo odoslané
13.10.2020 13:11,student01,Zadanie: Prípady použitia,Zadanie,Používateľ prijal prehlásenie o odovzdanom zadaní.,web,Zadanie - Používateľ prijal prehlásenie o odovzdanom zadaní.
13.10.2020 13:29,student01,Zadanie: Prípady použitia,Zadanie,Bol zobrazený formulár pre riešenia zadania.,web,Zadanie - Bol zobrazený formulár pre riešenia zadania.
13.10.2020 13:29,student01,Zadanie: Prípady použitia,Zadanie,Zobrazené moduly kurzu,web,Zadanie - Zobrazené moduly kurzu
13.10.2020 13:29,student01,Zadanie: Prípady použitia,Zadanie,Zadanie bolo odoslané,web,Zadanie - Zadanie bolo odoslané
13.10.2020 13:29,student01,Zadanie: Prípady použitia,Zadanie,Používateľ prijal prehlásenie o odovzdanom zadaní.,web,Zadanie - Používateľ prijal prehlásenie o odovzdanom zadaní.
13.10.2020 13:29,student01,Zadanie: Prípady použitia,Súbory odovzdaných zadaní,Používateľ aktualizoval svoje zadanie.,web,Súbory odovzdaných zadaní - Používateľ aktualizoval svoje zadanie.
