Timestamp,CaseID,KontextUdalosti,Komponent,NazovUdalosti,Pôvod,SpojeneUdalosti
7.9.2020 21:43,ucitel01,Kurz: Informačné systémy 20/21 (KI/IS),Základný systém,Kurz bol prehliadnutý,web,Základný systém - Kurz bol prehliadnutý
8.9.2020 12:34,ucitel01,Kurz: Informačné systémy 20/21 (KI/IS),Základný systém,Kurz bol prehliadnutý,web,Základný systém - Kurz bol prehliadnutý
8.9.2020 12:35,ucitel01,Kurz: Informačné systémy 20/21 (KI/IS),Základný systém,Zobrazený používateľský profil,web,Základný systém - Zobrazený používateľský profil
8.9.2020 12:35,ucitel01,Kurz: Informačné systémy 20/21 (KI/IS),Základný systém,Kurz bol prehliadnutý,web,Základný systém - Kurz bol prehliadnutý
8.9.2020 12:47,ucitel01,Kurz: Informačné systémy 20/21 (KI/IS),Základný systém,Kurz bol prehliadnutý,web,Základný systém - Kurz bol prehliadnutý
8.9.2020 12:47,ucitel01,URL: EA tutorials,Základný systém,Aktualizované nastavenie splnenie aktivity kurzu,web,Základný systém - Aktualizované nastavenie splnenie aktivity kurzu
8.9.2020 12:47,ucitel01,URL: EA tutorials,URL,Zobrazené moduly kurzu,web,URL - Zobrazené moduly kurzu
8.9.2020 12:47,ucitel01,Stránka: Harmonogram,Stránka,Zobrazené moduly kurzu,web,Stránka - Zobrazené moduly kurzu
8.9.2020 19:53,ucitel01,Kurz: Informačné systémy 20/21 (KI/IS),Základný systém,Kurz bol prehliadnutý,web,Základný systém - Kurz bol prehliadnutý
8.9.2020 19:54,ucitel01,URL: Plná verzia EA14 - verzia viazaná na študentov UKF,Základný systém,Aktualizované nastavenie splnenie aktivity kurzu,web,Základný systém - Aktualizované nastavenie splnenie aktivity kurzu
8.9.2020 19:54,ucitel01,URL: Plná verzia EA14 - verzia viazaná na študentov UKF,URL,Zobrazené moduly kurzu,web,URL - Zobrazené moduly kurzu
9.9.2020 7:42,ucitel01,Kurz: Informačné systémy 20/21 (KI/IS),Základný systém,Kurz bol prehliadnutý,web,Základný systém - Kurz bol prehliadnutý
9.9.2020 7:42,ucitel01,"Súbor: Rábová, Drlík: Podnikové informačné systémy, architektúra a vývoj. (Text k prednáškam)",Základný systém,Aktualizované nastavenie splnenie aktivity kurzu,web,Základný systém - Aktualizované nastavenie splnenie aktivity kurzu
9.9.2020 7:42,ucitel01,"Súbor: Rábová, Drlík: Podnikové informačné systémy, architektúra a vývoj. (Text k prednáškam)",Zdroj,Zobrazené moduly kurzu,web,Zdroj - Zobrazené moduly kurzu
9.9.2020 7:43,ucitel01,Adresár: Prednášky,Adresár,Zobrazené moduly kurzu,web,Adresár - Zobrazené moduly kurzu
9.9.2020 7:43,ucitel01,Kurz: Informačné systémy 20/21 (KI/IS),Základný systém,Kurz bol prehliadnutý,web,Základný systém - Kurz bol prehliadnutý
9.9.2020 7:43,ucitel01,Stránka: Harmonogram,Stránka,Zobrazené moduly kurzu,web,Stránka - Zobrazené moduly kurzu
9.9.2020 7:45,ucitel01,Kurz: Informačné systémy 20/21 (KI/IS),Základný systém,Kurz bol prehliadnutý,web,Základný systém - Kurz bol prehliadnutý
9.9.2020 7:54,ucitel01,Stránka: Harmonogram,Stránka,Zobrazené moduly kurzu,web,Stránka - Zobrazené moduly kurzu
10.9.2020 11:48,ucitel01,Kurz: Informačné systémy 20/21 (KI/IS),Základný systém,Kurz bol prehliadnutý,web,Základný systém - Kurz bol prehliadnutý
10.9.2020 11:48,ucitel01,Súbor: UML Tutorial Part 1 Introduction,Zdroj,Zobrazené moduly kurzu,web,Zdroj - Zobrazené moduly kurzu
10.9.2020 11:49,ucitel01,Stránka: Harmonogram,Stránka,Zobrazené moduly kurzu,web,Stránka - Zobrazené moduly kurzu
10.9.2020 14:20,ucitel01,Kurz: Informačné systémy 20/21 (KI/IS),Základný systém,Kurz bol prehliadnutý,web,Základný systém - Kurz bol prehliadnutý
10.9.2020 14:20,ucitel01,Stránka: Harmonogram,Stránka,Zobrazené moduly kurzu,web,Stránka - Zobrazené moduly kurzu
10.9.2020 14:21,ucitel01,Kurz: Informačné systémy 20/21 (KI/IS),Základný systém,Kurz bol prehliadnutý,web,Základný systém - Kurz bol prehliadnutý
10.9.2020 14:21,ucitel01,"Súbor: Rábová, Drlík: Podnikové informačné systémy, architektúra a vývoj. (Text k prednáškam)",Zdroj,Zobrazené moduly kurzu,web,Zdroj - Zobrazené moduly kurzu
14.9.2020 15:21,ucitel01,Kurz: Informačné systémy 20/21 (KI/IS),Základný systém,Kurz bol prehliadnutý,web,Základný systém - Kurz bol prehliadnutý
15.9.2020 13:22,ucitel01,Kurz: Informačné systémy 20/21 (KI/IS),Základný systém,Kurz bol prehliadnutý,web,Základný systém - Kurz bol prehliadnutý
15.9.2020 13:23,ucitel01,Stránka: Harmonogram,Stránka,Zobrazené moduly kurzu,web,Stránka - Zobrazené moduly kurzu
